exam_id,exam_label,exam_options,maneuver,exam_system,section,condition_or_syndrome,diagnostic_target,bedside_question_label,bedside_question_options,when_to_use_structured,result_changes_management,management_link,evidence_source_primary,source_citation,LR_plus,LR_minus,evidence_tier,difficulty,time_burden_minutes,equipment_needed,patient_cooperation_required,care_setting,limitations,retrieval_tags,last_reviewed,review_owner
EXAM-OSA-NECK-CIRCUMFERENCE,Neck circumference,Normal / Enlarged / Not measured / Unable,Measure neck circumference,HEENT,Upper airway,Sleep apnea or snoring,Sleep apnea risk phenotype from enlarged neck circumference,Any loud snoring or witnessed apnea or daytime sleepiness or drowsy driving?,No / Snoring / Witnessed apnea / Daytime sleepiness / Drowsy driving / Other ___,Snoring or suspected obstructive sleep apnea,Enlarged neck circumference supports higher OSA pretest probability and airway risk documentation,supports sleep-study referral and airway-risk documentation,AASM_OSA_DIAGNOSTIC_2017,MCGEE_EBPD;AHRQ_CALIBRATE_DX,,,B,easy,0.5,tape measure,low,clinic; inpatient bedside; perioperative,Use as risk phenotype only and do not diagnose OSA without sleep testing,sleep_apnea;snoring;upper_airway;heent;hypertension;cardiometabolic,2026-06-07,clinical_content_lead
EXAM-DERM-SKIN-INSPECTION,Skin inspection,No rash / Primary rash / Excoriations / Urticaria / Jaundice / Infection signs / Unable,Inspect exposed and relevant symptomatic skin,Integumentary,Skin morphology,Rash pruritus dryness hives or systemic skin clue,Primary rash morphology or excoriation infection jaundice urticaria xerosis or systemic clue,Where is the rash or itch and is it painful spreading blistering bleeding or associated with fever?,No / Itch / Pain / Spreading / Blistering / Bleeding / Fever / Other ___,Rash pruritus hives dryness fever wound or systemic dermatologic concern,Skin morphology can change infection allergy drug reaction dermatology referral isolation and systemic disease framing,supports source localization and treatment pathway selection,AAFP_PRURITUS_2022,AAD_MELANOMA_DETECTION;AHRQ_CALIBRATE_DX,,,B,easy,2,adequate lighting,low,clinic; inpatient bedside; ED,Document morphology distribution and mucosal involvement when relevant and avoid overcalling nonspecific erythema,skin;rash;pruritus;hives;urticaria;dry_skin;dermatology;infection;mucosal,2026-06-07,clinical_content_lead
EXAM-DERM-PERIANAL-SKIN-INSPECTION,Perianal skin inspection,Normal / Erythema / Excoriations / Fissure / Lesion / Drainage / Deferred,Consent and inspect perianal skin when clinically appropriate,GI/GU,Anorectal skin,Pruritus ani or perianal symptoms,Perianal dermatitis lesion fissure drainage infection or local irritant source,Any anal itching bleeding pain drainage lump fecal leakage diarrhea or rash elsewhere?,No / Itch / Bleeding / Pain / Drainage / Lump / Leakage / Diarrhea / Other ___,Pruritus ani rectal itching bleeding rash ulcer or infection context,Perianal findings can change hygiene treatment infection or dermatology colorectal evaluation and malignancy concern,supports local source diagnosis and referral decisions,MERCK_PRURITUS_ANI,AAFP_PRURITUS_2022;AHRQ_CALIBRATE_DX,,,C,moderate,2,gloves and chaperone as appropriate,moderate,clinic; inpatient bedside; ED,Use privacy aware consent and defer if not clinically appropriate or patient declines,pruritus_ani;perianal;skin;gi_gu_exam;itching;infection;lesion,2026-06-07,clinical_content_lead
EXAM-MSK-FOCUSED-SITE-INSPECTION,Focused painful-site inspection,Normal / Swelling / Erythema / Deformity / Atrophy / Wound / Unable,Inspect the symptomatic joint or painful site,Musculoskeletal,Focused MSK,Joint pain arthralgia injury or inflammatory arthritis,Visible inflammation deformity injury wound or asymmetric swelling at the symptomatic site,Which joint or muscle hurts and is there swelling redness trauma fever or inability to bear weight?,Location ___ / Swelling / Redness / Trauma / Fever / Cannot bear weight / Other ___,Joint pain swelling injury stiffness back pain or focal MSK pain,Visible swelling redness deformity wound or atrophy changes need for imaging arthrocentesis antibiotics immobilization or referral,supports localization and urgent MSK triage,AAFP_MONOARTHRITIS_2025,SM25;MCGEE_EBPD;AHRQ_CALIBRATE_DX,,,B,easy,1,adequate exposure and lighting,low,clinic; inpatient bedside; ED,Compare sides when possible and avoid painful manipulation before inspection,msk_exam;pain;joint_pain;arthralgia;septic_arthritis;fracture;injury;inspection,2026-06-07,clinical_content_lead
EXAM-MSK-FOCUSED-SITE-PALPATION,Focused painful-site palpation,None / Focal tenderness / Warmth / Effusion / Crepitus / Unable,Gently palpate the symptomatic joint or painful site,Musculoskeletal,Focused MSK,Joint pain arthralgia injury or inflammatory arthritis,Tenderness warmth effusion or focal bony soft-tissue pain,Which spot is most tender and is there warmth swelling fever trauma or rapidly worsening pain?,No focal tenderness / Focal tenderness / Warmth / Swelling / Fever / Trauma / Rapid worsening / Other ___,Joint pain swelling injury stiffness back pain or focal MSK pain,Focal tenderness warmth or effusion changes concern for fracture septic arthritis crystal disease cellulitis or inflammatory arthritis,supports imaging arthrocentesis antibiotic or referral decisions,AAFP_MONOARTHRITIS_2025,SM25;MCGEE_EBPD;AHRQ_CALIBRATE_DX,,,B,easy,1,none,low,clinic; inpatient bedside; ED,Use gentle pressure and stop for severe pain guarding instability or patient preference,msk_exam;pain;joint_pain;arthralgia;septic_arthritis;fracture;injury;palpation,2026-06-07,clinical_content_lead
EXAM-MSK-FOCUSED-SITE-ROM,Focused painful-site range of motion,Full / Limited active / Limited passive / Painful arc / Unable,Assess active then passive range of motion when safe,Musculoskeletal,Focused MSK,Joint pain arthralgia injury stiffness or functional limitation,Loss of active or passive motion and pain-limited function,Can you move the affected area and is motion limited by pain weakness stiffness or locking?,Full / Pain limited / Weakness limited / Stiffness / Locking / Unable / Other ___,Joint pain swelling stiffness injury or functional limitation,Loss of active or passive motion changes functional severity and concern for effusion infection fracture tendon injury or adhesive process,supports imaging therapy splinting arthrocentesis or referral decisions,AAFP_MONOARTHRITIS_2025,SM25;MCGEE_EBPD;AHRQ_CALIBRATE_DX,,,B,easy,1,none,moderate,clinic; inpatient bedside; ED,Do not force motion when fracture dislocation severe pain or instability is possible,msk_exam;pain;joint_pain;arthralgia;septic_arthritis;fracture;injury;range_of_motion,2026-06-07,clinical_content_lead
EXAM-MSK-FOCUSED-MUSCLE-TENDERNESS,Focused muscle tenderness,Absent / Focal tenderness / Diffuse tenderness / Swelling / Unable,Palpate symptomatic muscle groups for tenderness or swelling,Musculoskeletal,Muscle exam,Muscle cramps myalgia electrolyte disorder or rhabdomyolysis mimic,Muscle tenderness swelling or severe pain suggesting injury inflammation or rhabdomyolysis clue,Which muscle cramps most and is there swelling severe tenderness dark urine weakness fever or new medication?,Location ___ / Swelling / Severe tenderness / Dark urine / Weakness / Fever / New medication / Other ___,Muscle cramps myalgia weakness electrolyte dehydration thyroid or medication context,Marked tenderness or swelling changes CK renal electrolyte review medication review and concern for myositis compartment syndrome or rhabdomyolysis,supports lab urgency and escalation decisions,MCGEE_EBPD,AHRQ_CALIBRATE_DX,,,C,easy,1,none,low,clinic; inpatient bedside; ED,Severe pain out of proportion swelling or neurovascular findings require urgent escalation,muscle_cramps;myalgia;neuromuscular;CK;electrolytes;weakness;muscle_exam,2026-06-07,clinical_content_lead
EXAM-NEURO-SADDLE-SENSATION-SCREEN,Saddle sensation screen,Normal by history / Reduced / Not assessed / Unable,Ask about saddle sensation and perform consented perineal sensory exam only when appropriate,Neuro,Cauda equina safety,Cauda equina cord compression or urinary symptoms with neurologic concern,Saddle area sensory loss or high-risk cauda equina symptom,Any numbness around the groin or saddle area or new urinary retention incontinence bowel dysfunction or bilateral leg symptoms?,No / Saddle numbness / Retention / Incontinence / Bowel dysfunction / Bilateral leg symptoms / Other ___,Back pain weakness numbness urinary symptoms saddle anesthesia or cord compression concern,Possible saddle sensory loss changes urgency of bladder assessment emergent MRI and spine or neurosurgery escalation,supports emergent cauda equina pathway decisions,ACP_LOW_BACK_PAIN_2017,MCGEE_EBPD;AHRQ_CALIBRATE_DX,,,B,moderate,1,none,moderate,clinic; inpatient bedside; ED,Use consent and privacy safeguards and do not delay emergent imaging when red flags are present,cord_compression;cauda_equina;saddle_sensation;weakness;neuro;urinary;incontinence;back_pain,2026-06-07,clinical_content_lead
EXAM-GU-GENITAL-EXAM,Genital exam,Normal / Discharge / Ulcer or lesion / Testicular tenderness / Deferred,Consent and inspect genital area when clinically appropriate,GU,Genital/STI,Penile or genital discharge dysuria STI lesion or genital pain,Urethral discharge genital lesion local inflammation or testicular tenderness,Any dysuria urethral discharge genital sores testicular pain new partners STI exposure fever or pelvic/scrotal pain?,No / Dysuria / Discharge / Sores / Testicular pain / STI exposure / Fever / Other ___,Penile discharge dysuria STI genital lesion or swelling context,Local discharge ulcers tenderness or inflammation changes STI testing empiric treatment partner counseling and torsion epididymitis consideration,supports STI and urgent GU pathway decisions,CDC_STI_2021,AHRQ_CALIBRATE_DX;MCGEE_EBPD,,,B,moderate,3,gloves and chaperone as appropriate,moderate,clinic; inpatient bedside; ED,Use consent privacy trauma-informed approach and defer if not clinically appropriate or patient declines,genital_discharge;sti;gu;dysuria;infection;urethritis;genital_exam,2026-06-07,clinical_content_lead
EXAM-GU-INGUINAL-NODES,Inguinal nodes,Normal / Tender / Enlarged / Fluctuant / Not assessed,Palpate inguinal lymph nodes when genital lesion STI or groin symptoms are present,Lymphatic,Inguinal nodes,Genital discharge STI genital lesion skin lesion or groin swelling,Tender enlarged or fluctuant inguinal nodes suggesting local infection STI or malignancy clue,Any groin lumps genital ulcers painful lesions fever STI exposure or lower limb skin infection?,No / Groin lump / Genital ulcer / Painful lesion / Fever / STI exposure / Skin infection / Other ___,Penile discharge genital lesion STI groin swelling or suspicious skin lesion context,Tender or enlarged nodes change STI lesion malignancy or local infection differential and follow-up urgency,supports local staging and infection framing,CDC_STI_2021,AAD_MELANOMA_DETECTION;MCGEE_EBPD;AHRQ_CALIBRATE_DX,,,C,easy,1,none,moderate,clinic; inpatient bedside; ED,Interpret node findings with local infection skin lesion and malignancy context,inguinal_nodes;sti;genital_exam;genital_discharge;skin_lesion;lymphadenopathy;infection,2026-06-07,clinical_content_lead
EXAM-GU-SCROTAL-EXAM,Scrotal exam,Normal / Swelling / High-riding testis / Tender epididymis / Mass / Deferred,Consent and inspect then palpate scrotum and testes when clinically appropriate,GU,Scrotal/testicular,Acute scrotal pain swelling torsion infection or mass concern,Acute scrotum clue from swelling high-riding testis focal testicular or epididymal tenderness mass or hernia concern,Was onset sudden and is there nausea vomiting swelling high-riding testis urinary symptoms fever trauma or STI exposure?,No / Sudden severe pain / Nausea-vomiting / Swelling / Urinary symptoms / Fever / Trauma / STI exposure / Other ___,Acute scrotal pain swelling torsion infection or testicular mass context,High-riding testis severe focal tenderness swelling or mass changes urology escalation ultrasound urgency analgesia and infection or torsion pathway decisions,supports urgent acute scrotum pathway decisions,AUA_ACUTE_SCROTUM,EAU_ACUTE_SCROTUM;AHRQ_CALIBRATE_DX;MCGEE_EBPD,,,B,moderate,3,gloves and chaperone as appropriate,moderate,clinic; inpatient bedside; ED,Do not delay urgent urology evaluation when torsion concern is high,acute_scrotum;testicular_torsion;gu;scrotal_pain;abdominal_pain;infection;gi_gu_exam,2026-06-07,clinical_content_lead
EXAM-GU-CREMASTERIC-REFLEX,Cremasteric reflex,Present bilaterally / Absent right / Absent left / Not assessed,Stroke inner thigh and observe ipsilateral testicular elevation when appropriate,GU,Scrotal/testicular,Acute scrotal pain or torsion concern,Torsion-associated absent ipsilateral cremasteric reflex,Did pain start suddenly with nausea vomiting high-riding testis swelling trauma or prior torsion?,No / Sudden onset / Nausea-vomiting / High-riding / Swelling / Trauma / Prior torsion / Other ___,Acute scrotal pain swelling torsion concern or testicular pain context,Absent reflex supports urgent torsion pathway in context while present reflex does not safely exclude torsion,supports urgent urology review and do-not-delay escalation,EAU_ACUTE_SCROTUM,AUA_ACUTE_SCROTUM;AHRQ_CALIBRATE_DX;MCGEE_EBPD,2.9,0,B,moderate,1,none,moderate,clinic; inpatient bedside; ED,Accuracy evidence is pediatric-heavy and a present reflex must not delay urgent torsion evaluation,acute_scrotum;testicular_torsion;cremasteric_reflex;gu;scrotal_pain;abdominal_pain,2026-06-07,clinical_content_lead
EXAM-DERM-MUCOSAL-LESIONS,Mucosal lesions,Absent / Oral lesions / Ocular lesions / Genital lesions / Unable,Inspect clinically relevant oral ocular or genital mucosa when symptoms suggest mucocutaneous disease,HEENT/Skin,Mucocutaneous,Rash hives drug reaction STI or systemic mucocutaneous concern,Mucosal involvement suggesting severe drug eruption infection autoimmune disease or STI clue,Any mouth sores eye pain genital sores blistering skin pain fever new drug or trouble breathing?,No / Mouth sores / Eye pain / Genital sores / Blisters / Skin pain / Fever / New drug / Other ___,Rash hives pruritus STI drug reaction fever or mucosal symptom context,Mucosal lesions change urgency for severe cutaneous adverse reaction STI testing isolation ophthalmology dermatology or ED escalation,supports mucocutaneous danger assessment,AAFP_PRURITUS_2022,CDC_STI_2021;AAO_CONJUNCTIVITIS_PPP_2023;AHRQ_CALIBRATE_DX,,,B,moderate,1,light source,moderate,clinic; inpatient bedside; ED,Scope exam to symptoms and use privacy safeguards for genital mucosa,mucosal;mucosal_lesion;skin;rash;hives;sti;genital_exam;red_flag;infection,2026-06-07,clinical_content_lead
EXAM-DERM-SKIN-LESION-INSPECTION,Skin lesion inspection,Symmetric / Asymmetric / Irregular border / Color variation / Large or changing / Bleeding / Unable,Inspect lesion morphology and compare with surrounding lesions,Integumentary,Skin lesion,Skin lesion mole melanoma infection or nonhealing lesion concern,Suspicious lesion morphology including asymmetry border color diameter evolution bleeding or nonhealing pattern,Is the lesion new changing bleeding painful itchy irregular or different from other spots?,No / New / Changing / Bleeding / Painful / Itchy / Irregular / Different / Other ___,Skin lesion mole melanoma concern rapid change bleeding or nonhealing lesion context,Suspicious morphology changes dermatology referral biopsy consideration lymph node exam and safety-net follow-up,supports malignancy risk stratification and referral,AAD_MELANOMA_DETECTION,AAD_MELANOMA_GUIDELINE;AHRQ_CALIBRATE_DX,,,C,easy,2,adequate lighting and ruler if available,low,clinic; inpatient bedside; ED,ABCDE clues are screening cues and do not diagnose melanoma without dermoscopy or pathology,skin_lesion;skin;mole;melanoma;malignancy;dermatology;lymphadenopathy,2026-06-07,clinical_content_lead
EXAM-DERM-REGIONAL-LYMPH-NODES,Regional lymph nodes,Normal / Tender / Enlarged / Fixed / Not assessed,Palpate lymph node basin draining suspicious lesion or wound,Lymphatic,Regional nodes,Suspicious skin lesion wound infection or regional adenopathy concern,Regional nodal enlargement tenderness fixation or infection/malignancy clue,Any nearby lumps swelling tenderness fever lesion growth drainage or weight loss?,No / Nearby lump / Tender node / Fever / Lesion growth / Drainage / Weight loss / Other ___,Suspicious skin lesion melanoma concern infection ulcer or regional adenopathy context,Abnormal regional nodes can change urgency of malignancy infection workup imaging biopsy referral or antimicrobial strategy,supports local staging and infection assessment,AAD_MELANOMA_GUIDELINE,AAD_MELANOMA_DETECTION;MCGEE_EBPD;AHRQ_CALIBRATE_DX,,,C,easy,1,none,low,clinic; inpatient bedside; ED,Interpret with lesion location infection signs and systemic symptoms,regional_lymph_nodes;lymphadenopathy;skin_lesion;melanoma;malignancy;infection;wound,2026-06-07,clinical_content_lead
EXAM-DERM-WOUND-INSPECTION,Wound inspection,Clean / Erythema / Warmth / Drainage / Necrosis / Probe concern / Unable,Inspect wound size depth drainage surrounding skin and ischemia or infection signs,Integumentary,Wound,Nonhealing wound skin ulcer diabetic foot or infected wound concern,Wound infection ischemia necrosis drainage depth or delayed healing clue,How long has the wound been present and is there drainage odor fever increasing pain redness diabetes or poor circulation?,Duration ___ / Drainage / Odor / Fever / Pain / Redness / Diabetes / Poor circulation / Other ___,Skin ulcer nonhealing wound diabetes infection drainage or ischemia context,Wound features change need for cultures imaging vascular review offloading antibiotics debridement or urgent wound care referral,supports infection ischemia and limb-risk decisions,ADA_FOOT_CARE_2026,MCGEE_EBPD;AHRQ_CALIBRATE_DX,,,B,moderate,3,gloves ruler and adequate lighting,moderate,clinic; inpatient bedside; ED,Do not probe deeply unless trained and clinically appropriate and escalate systemic infection or ischemia signs,wound;skin;ulcer;diabetes_foot;vascular_exam;infection;ischemia;nonhealing_wound,2026-06-07,clinical_content_lead
EXAM-NEURO-NECK-STIFFNESS,Neck stiffness,Absent / Present / Unable to assess safely,Assess neck stiffness or painful limitation with gentle active movement and clinician judgment,Neuro,Meningeal irritation,Suspected meningitis febrile headache photophobia or altered mental status,Meningeal irritation clue from neck stiffness in compatible syndrome,Any fever severe headache neck stiffness photophobia confusion rash immunosuppression or recent CNS procedure?,No / Fever / Severe headache / Neck stiffness / Photophobia / Confusion / Rash / Immunosuppression / Other ___,Fever headache neck pain photophobia confusion or meningitis concern,Neck stiffness with fever headache photophobia altered mental status petechiae or toxicity changes ED escalation antimicrobials isolation cultures imaging and LP planning,supports meningitis danger-pattern triage,NICE_MENINGITIS_2024,MCGEE_EBPD;AHRQ_CALIBRATE_DX,,,B,easy,1,none,moderate,clinic; inpatient bedside; ED,Absence of neck stiffness does not exclude meningitis and exam should not delay urgent treatment when concern is high,meningitis;infection;sepsis;neck_stiffness;headache;neuro;red_flag,2026-06-07,clinical_content_lead
EXAM-ENDO-THYROID-SKIN-PHENOTYPE,Skin inspection for thyroid phenotype,Normal / Warm moist skin / Dry coarse skin / Unable,Inspect exposed skin for warm moist thyrotoxic phenotype or dry coarse myxedematous phenotype,Endocrine,Thyroid phenotype,Thyroid storm myxedema coma hyperthyroidism hypothyroidism or thyroid phenotype concern,Thyroid phenotype clue from warm moist skin in thyrotoxicosis or dry coarse skin in severe hypothyroidism,Any heat intolerance or sweating or cold intolerance or dry/coarse skin change?,No / Heat intolerance / Sweating / Cold intolerance / Dry or coarse skin / Other ___,Thyroid storm myxedema coma hyperthyroidism hypothyroidism heat intolerance cold intolerance diaphoresis or dry skin context,Marked warm moist or dry coarse skin phenotype supports thyroid severity framing and changes thyroid lab urgency crisis screen temperature strategy and endocrine escalation,supports thyroid emergency severity and routine thyroid phenotype assessment,ATA_HYPERTHYROIDISM_2016,ATA_HYPOTHYROIDISM_2014;JTA_JES_THYROID_STORM_2016;AHRQ_CALIBRATE_DX,,,B,easy,0.5,none,low,clinic; inpatient bedside; ED,Nonspecific supportive phenotype only and must not delay thyroid crisis treatment or source evaluation,thyroid_disease;thyroid_storm;myxedema;thyroid_phenotype;heat_intolerance;cold_intolerance;diaphoresis;dry_skin,2026-06-08,clinical_content_lead
