case_id,gap_exam_id,gap_label,gap_type,review_status,review_owner,last_reviewed,source_ids,source_citation,rationale,activation_condition,planned_resolution
pulm_snoring_sleep_apnea,GAP-sleep-apnea-neck-circumference,Neck circumference,exam_maneuver,staged_gap,clinical_content_lead,2026-06-07,AASM_OSA_DIAGNOSTIC_2017;MCGEE_EBPD;AHRQ_CALIBRATE_DX,AASM adult OSA diagnostic testing guideline plus McGee evidence synthesis and AHRQ diagnostic safety workflow,Neck circumference is a common bedside OSA risk phenotype item but is not yet represented as an atomic base catalog maneuver,Snoring sleepiness OSA or witnessed apnea context,Promote to base exam catalog after source-specific technique and threshold review
gi_pruritus_ani,GAP-derm-skin-inspection,Skin inspection,exam_maneuver,staged_gap,clinical_content_lead,2026-06-07,AHRQ_CALIBRATE_DX;MCGEE_EBPD,AHRQ diagnostic safety workflow and McGee evidence synthesis,General skin inspection is needed to characterize rash excoriation infection jaundice or systemic clues when pruritus is the presentation,Pruritus ani or generalized pruritus with skin symptom context,Promote dermatology morphology exam rows into base catalog
gi_pruritus_ani,GAP-derm-perianal-inspection,Perianal skin inspection,exam_maneuver,staged_gap,clinical_content_lead,2026-06-07,AHRQ_CALIBRATE_DX;MCGEE_EBPD,AHRQ diagnostic safety workflow and McGee evidence synthesis,Perianal inspection is required for pruritus ani but is not yet in the base maneuver catalog,Pruritus ani rectal itching bleeding rash ulcer or infection context,Add perianal inspection technique options limitations and privacy guidance to base catalog
msk_joint_pain,GAP-msk-focused-site-inspection,Focused painful-site inspection,exam_maneuver,staged_gap,clinical_content_lead,2026-06-07,SM25;MCGEE_EBPD;AHRQ_CALIBRATE_DX,Stanford Medicine 25 technique plus McGee and AHRQ diagnostic safety,Focused inspection is a core MSK exam domain but current base catalog coverage is not yet evidence-overlay complete for every joint complaint,Joint pain swelling inflammatory arthritis injury or infection context,Promote joint-specific inspection rows and evidence metadata into base catalog
msk_joint_pain,GAP-msk-focused-site-palpation,Focused painful-site palpation,exam_maneuver,staged_gap,clinical_content_lead,2026-06-07,SM25;MCGEE_EBPD;AHRQ_CALIBRATE_DX,Stanford Medicine 25 technique plus McGee and AHRQ diagnostic safety,Focused palpation helps localize tenderness warmth effusion and inflammatory or infectious features but needs fuller catalog evidence mapping,Joint pain swelling inflammatory arthritis injury or infection context,Promote joint-specific palpation rows and evidence metadata into base catalog
msk_joint_pain,GAP-msk-focused-site-rom,Focused painful-site range of motion,exam_maneuver,staged_gap,clinical_content_lead,2026-06-07,SM25;MCGEE_EBPD;AHRQ_CALIBRATE_DX,Stanford Medicine 25 technique plus McGee and AHRQ diagnostic safety,Range of motion is core to focused MSK evaluation but current catalog matching is not yet sufficiently condition-specific,Joint pain swelling stiffness injury or functional limitation context,Promote joint-specific active and passive ROM rows with limitations into base catalog
msk_muscle_cramps,GAP-cramps-focused-muscle-tenderness,Focused muscle tenderness,exam_maneuver,staged_gap,clinical_content_lead,2026-06-07,MCGEE_EBPD;AHRQ_CALIBRATE_DX,McGee evidence synthesis and AHRQ diagnostic safety workflow,Focused muscle tenderness is needed for cramps myalgia and rhabdomyolysis or inflammatory mimic screening but is not yet an evidence-backed base maneuver,Muscle cramps myalgia electrolyte dehydration thyroid or weakness context,Add muscle tenderness inspection palpation and strength adjuncts to base catalog
gu_incontinence,GAP-cord-saddle-sensation,Saddle sensation screen,exam_maneuver,staged_gap,clinical_content_lead,2026-06-07,AHRQ_CALIBRATE_DX;MCGEE_EBPD,AHRQ diagnostic safety workflow and McGee evidence synthesis,Saddle sensation is a safety-critical neurologic screen when incontinence coexists with back pain weakness or cord compression concern,Urinary incontinence with back pain weakness saddle symptoms or neurologic concern,Add consented perineal sensation and rectal tone decision pathway to base catalog
gu_penile_discharge,GAP-gu-genital-exam,Genital exam,exam_maneuver,staged_gap,clinical_content_lead,2026-06-07,AHRQ_CALIBRATE_DX;MCGEE_EBPD,AHRQ diagnostic safety workflow and McGee evidence synthesis,Genital inspection is central for penile discharge STI lesions swelling or urethral findings but is not yet represented in the base catalog,Penile discharge dysuria STI genital lesion or swelling context,Add privacy-aware genital exam technique options limitations and consent language to base catalog
gu_penile_discharge,GAP-gu-inguinal-nodes,Inguinal nodes,exam_maneuver,staged_gap,clinical_content_lead,2026-06-07,AHRQ_CALIBRATE_DX;MCGEE_EBPD,AHRQ diagnostic safety workflow and McGee evidence synthesis,Inguinal nodes can change STI ulcer malignancy or infection framing in genital presentations but need formal evidence overlay,Penile discharge genital lesion STI or groin swelling context,Promote inguinal node exam row with source metadata into base catalog
gu_scrotal_pain,GAP-vitals-temperature,Temperature,safety_check,staged_gap,clinical_content_lead,2026-06-07,AHRQ_CALIBRATE_DX,Surviving Sepsis Campaign public guideline and AHRQ diagnostic safety workflow,Temperature is a basic bedside safety check that changes infection sepsis and urgency framing but is not yet represented in the base exam catalog,Scrotal pain pruritus fever infection or systemic illness context,Model temperature as safety data outside the physical exam maneuver catalog
gu_scrotal_pain,GAP-gu-scrotal-exam,Scrotal exam,exam_maneuver,staged_gap,clinical_content_lead,2026-06-07,AHRQ_CALIBRATE_DX;MCGEE_EBPD,AHRQ diagnostic safety workflow and McGee evidence synthesis,Scrotal inspection and palpation is essential for torsion infection swelling and mass assessment but is not yet a base catalog maneuver,Acute scrotal pain swelling torsion infection or testicular mass context,Add consented scrotal exam technique options and urgent torsion limitations to base catalog
gu_scrotal_pain,GAP-gu-cremasteric-reflex,Cremasteric reflex,exam_maneuver,staged_gap,clinical_content_lead,2026-06-07,AHRQ_CALIBRATE_DX;MCGEE_EBPD,AHRQ diagnostic safety workflow and McGee evidence synthesis,Cremasteric reflex can support but not exclude torsion and requires explicit limitations before becoming a permanent catalog row,Acute scrotal pain swelling torsion concern or testicular pain context,Add cremasteric reflex technique LR limitations and do-not-delay-escalation warning to base catalog
derm_skin_rash,GAP-derm-skin-inspection,Skin inspection,exam_maneuver,staged_gap,clinical_content_lead,2026-06-07,AHRQ_CALIBRATE_DX;MCGEE_EBPD,AHRQ diagnostic safety workflow and McGee evidence synthesis,Skin morphology inspection is core for rash and mucocutaneous diagnostic safety but the base catalog lacks dermatology morphology coverage,Rash fever hives pruritus mucosal lesions or dermatologic complaint context,Promote dermatology morphology exam rows into base catalog
derm_pruritus,GAP-vitals-temperature,Temperature,safety_check,staged_gap,clinical_content_lead,2026-06-07,AHRQ_CALIBRATE_DX,Surviving Sepsis Campaign public guideline and AHRQ diagnostic safety workflow,Temperature is a basic bedside safety check for systemic infection or inflammatory clues in pruritus contexts,Pruritus with fever infection or systemic symptom context,Model temperature as safety data outside the physical exam maneuver catalog
derm_pruritus,GAP-derm-skin-inspection,Skin inspection,exam_maneuver,staged_gap,clinical_content_lead,2026-06-07,AHRQ_CALIBRATE_DX;MCGEE_EBPD,AHRQ diagnostic safety workflow and McGee evidence synthesis,Skin inspection is needed to identify primary rash excoriations infestation urticaria jaundice or systemic disease clues,Pruritus generalized itching jaundice renal thyroid or rash context,Promote dermatology morphology exam rows into base catalog
derm_skin_lesions,GAP-derm-lesion-inspection,Skin lesion inspection,exam_maneuver,staged_gap,clinical_content_lead,2026-06-07,AHRQ_CALIBRATE_DX;MCGEE_EBPD,AAD public melanoma detection guidance plus McGee and AHRQ diagnostic safety,Skin lesion inspection is needed for asymmetric changing bleeding or suspicious lesions and requires morphology-specific catalog rows,Skin lesion mole melanoma concern rapid change bleeding or nonhealing lesion context,Add lesion morphology and ABCDE-style documentation rows to base catalog
derm_skin_lesions,GAP-derm-regional-lymph-nodes,Regional lymph nodes,exam_maneuver,staged_gap,clinical_content_lead,2026-06-07,AHRQ_CALIBRATE_DX;MCGEE_EBPD,AAD public melanoma detection guidance plus McGee and AHRQ diagnostic safety,Regional node exam may change malignancy or infection concern for suspicious skin lesions but needs condition-specific limits,Suspicious skin lesion melanoma concern infection ulcer or regional adenopathy context,Add region-specific lymph node row linked to lesion and infection contexts
derm_ulcer_wound,GAP-derm-wound-inspection,Wound inspection,exam_maneuver,staged_gap,clinical_content_lead,2026-06-07,AHRQ_CALIBRATE_DX;MCGEE_EBPD,AHRQ diagnostic safety workflow and McGee evidence synthesis,Wound inspection is core for non-healing ulcer infection ischemia and diabetic foot risk but is not yet a base catalog maneuver,Skin ulcer nonhealing wound diabetes infection drainage or ischemia context,Add wound morphology drainage depth infection and ischemia exam rows to base catalog
derm_hives,GAP-derm-skin-inspection,Skin inspection,exam_maneuver,staged_gap,clinical_content_lead,2026-06-07,AHRQ_CALIBRATE_DX;MCGEE_EBPD,AHRQ diagnostic safety workflow and McGee evidence synthesis,Skin inspection confirms urticarial morphology and helps distinguish anaphylaxis mimics while airway checks remain safety-critical,Hives urticaria itching allergy wheeze dyspnea or throat swelling context,Promote dermatology morphology exam rows into base catalog
derm_dryness,GAP-derm-skin-inspection,Skin inspection,exam_maneuver,staged_gap,clinical_content_lead,2026-06-07,AHRQ_CALIBRATE_DX;MCGEE_EBPD,AHRQ diagnostic safety workflow and McGee evidence synthesis,Skin inspection helps distinguish xerosis hypothyroid dehydration eczema and systemic clues in excessive dryness,Excessive dryness pruritus thyroid disease dehydration or rash context,Promote dermatology morphology exam rows into base catalog
dx_meningitis,GAP-neuro-neck-stiffness,Neck stiffness,exam_maneuver,staged_gap,clinical_content_lead,2026-06-07,AHRQ_CALIBRATE_DX;MCGEE_EBPD,IDSA bacterial meningitis guideline plus McGee and AHRQ diagnostic safety,Neck stiffness is a high-risk meningeal sign that needs explicit technique limitations and source review before permanent catalog promotion,Fever headache neck pain photophobia confusion or meningitis concern,Add meningeal sign technique rows with limitations and escalation warnings to base catalog
dx_cord_compression,GAP-cord-saddle-sensation,Saddle sensation screen,exam_maneuver,staged_gap,clinical_content_lead,2026-06-07,AHRQ_CALIBRATE_DX;MCGEE_EBPD,AHRQ diagnostic safety workflow and McGee evidence synthesis,Saddle sensation is a safety-critical screen for cauda equina or cord compression and requires consented technique and limits,Back pain weakness numbness urinary symptoms saddle anesthesia or cord compression concern,Add consented perineal sensation and rectal tone decision pathway to base catalog
dx_testicular_torsion,GAP-vitals-temperature,Temperature,safety_check,staged_gap,clinical_content_lead,2026-06-07,AHRQ_CALIBRATE_DX,Surviving Sepsis Campaign public guideline and AHRQ diagnostic safety workflow,Temperature is a basic bedside safety check that changes infection sepsis and urgency framing in acute scrotal presentations,Acute scrotal pain infection fever or torsion mimic context,Model temperature as safety data outside the physical exam maneuver catalog
dx_testicular_torsion,GAP-gu-scrotal-exam,Scrotal exam,exam_maneuver,staged_gap,clinical_content_lead,2026-06-07,AHRQ_CALIBRATE_DX;MCGEE_EBPD,AHRQ diagnostic safety workflow and McGee evidence synthesis,Scrotal inspection and palpation is essential for torsion infection swelling and mass assessment but is not yet a base catalog maneuver,Acute scrotal pain swelling torsion infection or testicular mass context,Add consented scrotal exam technique options and urgent torsion limitations to base catalog
dx_testicular_torsion,GAP-gu-cremasteric-reflex,Cremasteric reflex,exam_maneuver,staged_gap,clinical_content_lead,2026-06-07,AHRQ_CALIBRATE_DX;MCGEE_EBPD,AHRQ diagnostic safety workflow and McGee evidence synthesis,Cremasteric reflex can support but not exclude torsion and requires explicit limitations before becoming a permanent catalog row,Acute scrotal pain swelling torsion concern or testicular pain context,Add cremasteric reflex technique LR limitations and do-not-delay-escalation warning to base catalog
dx_dka_hhs,GAP-dka-hhs-mental-status,Mental status assessment,safety_check,staged_gap,clinical_content_lead,2026-06-07,ADA_HYPERGLYCEMIC_CRISES_2024;AHRQ_CALIBRATE_DX,ADA hyperglycemic crises consensus report and AHRQ diagnostic safety workflow,Mental status changes are management-changing severity findings in DKA or HHS but should be modeled as safety data outside the exam maneuver catalog,DKA HHS hyperglycemic crisis confusion somnolence obtundation or severe dehydration context,Promote as a basic bedside safety check with explicit severity options and escalation implications
endo_hyperhidrosis,GAP-hypoglycemia-mental-status,Mental status assessment,safety_check,staged_gap,clinical_content_lead,2026-06-07,ADA_STANDARDS_HOSPITAL_2026;AHRQ_CALIBRATE_DX,ADA Standards of Care hospital guidance and AHRQ diagnostic safety workflow,Neuroglycopenic mental status change is an immediate safety finding in suspected hypoglycemia but should not appear as a physical exam maneuver,Hypoglycemia jittery shaky sweaty confused somnolent seizure or unable to safely take PO context,Promote as a basic bedside safety check with treatment route and monitoring implications
endo_hyperhidrosis,GAP-hypoglycemia-bedside-glucose,Bedside glucose safety check,safety_check,staged_gap,clinical_content_lead,2026-06-07,ADA_STANDARDS_HOSPITAL_2026;AHRQ_CALIBRATE_DX,ADA Standards of Care hospital guidance and AHRQ diagnostic safety workflow,Point-of-care glucose is immediately management-changing in hypoglycemia-like presentations but belongs in baseline safety data rather than physical exam,Hypoglycemia low sugar jittery sweaty tremor insulin sulfonylurea missed meal or altered mental status context,Promote as a safety data row outside the physical exam catalog with value documentation and reassessment timing
endo_hyperhidrosis,GAP-hypoglycemia-diaphoresis-inspection,Diaphoresis inspection,exam_maneuver,staged_gap,clinical_content_lead,2026-06-07,ADA_STANDARDS_HOSPITAL_2026;AHRQ_CALIBRATE_DX,ADA Standards of Care hospital guidance and AHRQ diagnostic safety workflow,Diaphoresis is an atomic visible adrenergic sign for hypoglycemia-like symptoms but is not yet represented as an accepted base catalog maneuver,Hypoglycemia jittery shaky sweaty clammy adrenergic symptoms or low glucose context,Promote to base catalog after technique wording options limitations and evidence metadata are reviewed
neuro_tremors,GAP-hypoglycemia-tremor-observation,Tremor observation,exam_maneuver,staged_gap,clinical_content_lead,2026-06-07,ADA_STANDARDS_HOSPITAL_2026;AHRQ_CALIBRATE_DX,ADA Standards of Care hospital guidance and AHRQ diagnostic safety workflow,Tremor observation is an atomic adrenergic bedside maneuver for hypoglycemia-like symptoms but needs accepted technique and interpretation metadata,Hypoglycemia jittery shaky tremor adrenergic symptoms insulin sulfonylurea missed meal or low glucose context,Promote to base catalog after technique wording options limitations and differential interpretation are reviewed
endo_amenorrhea,GAP-pelvic-pregnancy-status,Pregnancy possibility safety check,safety_check,staged_gap,clinical_content_lead,2026-06-07,ACOG_ECTOPIC_FAQ;AHRQ_CALIBRATE_DX,ACOG ectopic pregnancy FAQ and AHRQ diagnostic safety workflow,Pregnancy possibility changes medication imaging ectopic-risk and escalation decisions in pelvic or lower-abdominal pain and belongs in safety data,Menstrual pelvic lower abdominal pain missed period positive pregnancy test syncope shoulder pain or heavy bleeding context,Promote as a safety data row with privacy-aware pregnancy-status wording and escalation implications
gi_abdominal_pain,GAP-pelvic-pid-ectopic-red-flags,PID or ectopic red-flag review,red_flag,staged_gap,clinical_content_lead,2026-06-07,CDC_STI_2021;ACOG_ECTOPIC_FAQ;AHRQ_CALIBRATE_DX,CDC STI Treatment Guidelines 2021 ACOG ectopic pregnancy FAQ and AHRQ diagnostic safety workflow,PID or ectopic red flags can change urgent pelvic-source evaluation and should remain visibly separate from routine abdominal exam maneuvers,Pelvic pain fever discharge severe unilateral pain heavy bleeding syncope STI exposure or pregnancy concern context,Promote as a red-flag safety row with structured triggers and reviewed escalation language
endo_heat_intolerance,GAP-routine-thyroid-skin-inspection,Skin inspection for thyroid phenotype,exam_maneuver,staged_gap,clinical_content_lead,2026-06-07,ATA_HYPERTHYROIDISM_2016;ATA_HYPOTHYROIDISM_2014;AHRQ_CALIBRATE_DX,ATA thyroid guidelines and AHRQ diagnostic safety workflow,Skin phenotype inspection is a thyroid-focused bedside clue but should be represented as an atomic maneuver rather than bundled with hair tremor and reflexes,Routine thyroid hypo hyperthyroid Graves Hashimoto heat intolerance cold intolerance sweating or dry skin context,Promote to base catalog after technique options limitations and source-specific interpretation are reviewed
derm_hair_loss,GAP-routine-thyroid-hair-inspection,Hair thinning inspection,exam_maneuver,staged_gap,clinical_content_lead,2026-06-07,ATA_HYPERTHYROIDISM_2016;ATA_HYPOTHYROIDISM_2014;AHRQ_CALIBRATE_DX,ATA thyroid guidelines and AHRQ diagnostic safety workflow,Hair inspection can support chronic thyroid phenotype when symptoms fit but needs atomic catalog wording and limits,Hypothyroidism Hashimoto cold intolerance dry skin hair thinning brittle hair or fatigue context,Promote to base catalog after thyroid-specific technique options and differential limitations are reviewed
neuro_tremors,GAP-routine-thyroid-tremor-assessment,Outstretched-hands tremor assessment,exam_maneuver,staged_gap,clinical_content_lead,2026-06-07,ATA_HYPERTHYROIDISM_2016;ATA_HYPOTHYROIDISM_2014;SM25;AHRQ_CALIBRATE_DX,ATA thyroid guidelines Stanford Medicine 25 technique resources and AHRQ diagnostic safety workflow,Outstretched-hands tremor assessment is an atomic thyrotoxicosis phenotype maneuver but is not yet accepted into the base catalog,Hyperthyroidism thyrotoxicosis Graves tremor heat intolerance palpitations tachycardia or sweating context,Promote to base catalog after technique options limitations and non-thyroid tremor cautions are reviewed
endo_cold_intolerance,GAP-routine-thyroid-reflex-relaxation,Deep tendon reflex relaxation,exam_maneuver,staged_gap,clinical_content_lead,2026-06-07,ATA_HYPERTHYROIDISM_2016;ATA_HYPOTHYROIDISM_2014;SM25;AHRQ_CALIBRATE_DX,ATA thyroid guidelines Stanford Medicine 25 deep tendon reflex technique resources and AHRQ diagnostic safety workflow,Reflex relaxation is a thyroid phenotype clue but requires source-specific technique and interpretation limits before becoming an accepted catalog maneuver,Hypothyroidism hyperthyroidism Graves Hashimoto slowed thinking constipation tremor or abnormal thyroid phenotype context,Promote to base catalog after reflex technique options limitations equipment and LR availability are reviewed
dx_thyroid_storm,GAP-thyroid-crisis-mental-status,Mental status assessment,safety_check,staged_gap,clinical_content_lead,2026-06-07,ATA_HYPERTHYROIDISM_2016;JTA_JES_THYROID_STORM_2016;AHRQ_CALIBRATE_DX,ATA hyperthyroidism guidance JTA/JES thyroid storm criteria and AHRQ diagnostic safety workflow,Mental status change is a thyroid-crisis severity criterion and should be modeled as safety data rather than an exam maneuver,Thyroid storm myxedema crisis confusion agitation somnolence coma or severe thyroid emergency context,Promote as a basic bedside safety check with crisis-severity options and escalation implications
