priority_rank,exam_id,base_row_number,exam_system,section,maneuver_or_finding,suggested_checklist_label,priority_reason,planned_sources,enrichment_status
1,EXAM-001-visual-acuity,1,Neuro,Cranial Nerves,Visual acuity,Visual acuity,High relevance for endocrine consults.,ES_PITUITARY_INCIDENTALOMA; SM25; AHRQ_CALIBRATE_DX,seeded
2,EXAM-002-visual-fields,2,Neuro,Cranial Nerves,Visual fields,Visual fields,High relevance for endocrine consults.,ES_PITUITARY_INCIDENTALOMA; SM25; AHRQ_CALIBRATE_DX,seeded
3,EXAM-003-extraocular-movements,3,Neuro,Cranial Nerves,Extraocular movements,Extraocular movements,High relevance for endocrine consults.,ES_PITUITARY_INCIDENTALOMA; SM25; AHRQ_CALIBRATE_DX,seeded
4,EXAM-004-convergence,4,Neuro,Cranial Nerves,Convergence,Convergence,High relevance for endocrine consults.,AHRQ_CALIBRATE_DX; SM25,seeded
5,EXAM-005-pupils,5,Neuro,Cranial Nerves,Pupillary light,Pupils,High relevance for endocrine consults.,ES_PITUITARY_INCIDENTALOMA; SM25; AHRQ_CALIBRATE_DX,seeded
6,EXAM-009-eye-closure-strength,9,Neuro,Cranial Nerves,Eye closure strength,Eye closure strength,High relevance for endocrine consults.,JAMA_RCE; SM25; AHRQ_CALIBRATE_DX,seeded
7,EXAM-010-facial-symmetry,10,Neuro,Cranial Nerves,Show teeth,Facial symmetry,High relevance for endocrine consults.,AHRQ_CALIBRATE_DX; SM25,seeded
8,EXAM-014-palate-elevation,14,Neuro,Cranial Nerves,Palate elevation,Palate elevation,High-yield bedside maneuver for consult rounds.,AHRQ_CALIBRATE_DX; SM25,seeded
9,EXAM-017-tongue-protrusion,17,Neuro,Cranial Nerves,Tongue protrusion,Tongue protrusion,High-yield bedside maneuver for consult rounds.,AHRQ_CALIBRATE_DX; SM25,seeded
10,EXAM-018-pronator-drift,18,Neuro,Motor,Pronator drift,Pronator drift,High relevance for endocrine consults.,JAMA_RCE; SM25; AHRQ_CALIBRATE_DX,seeded
11,EXAM-019-deltoid-strength,19,Neuro,Motor,Deltoid strength,Deltoid strength,High relevance for endocrine consults.,JAMA_RCE; SM25; AHRQ_CALIBRATE_DX,seeded
12,EXAM-020-biceps-strength,20,Neuro,Motor,Biceps strength,Biceps strength,High relevance for endocrine consults.,JAMA_RCE; SM25; AHRQ_CALIBRATE_DX,seeded
13,EXAM-021-triceps-strength,21,Neuro,Motor,Triceps strength,Triceps strength,High relevance for endocrine consults.,JAMA_RCE; SM25; AHRQ_CALIBRATE_DX,seeded
14,EXAM-022-wrist-extension-strength,22,Neuro,Motor,Wrist extensor strength,Wrist extension strength,High relevance for endocrine consults.,JAMA_RCE; SM25; AHRQ_CALIBRATE_DX,seeded
15,EXAM-023-wrist-flexion-strength,23,Neuro,Motor,Wrist flexor strength,Wrist flexion strength,High relevance for endocrine consults.,JAMA_RCE; SM25; AHRQ_CALIBRATE_DX,seeded
16,EXAM-024-hip-flexion-strength,24,Neuro,Motor,Hip flexor strength,Hip flexion strength,High relevance for endocrine consults.,JAMA_RCE; SM25; AHRQ_CALIBRATE_DX,seeded
17,EXAM-025-knee-extension-strength,25,Neuro,Motor,Knee extensor strength,Knee extension strength,High relevance for endocrine consults.,JAMA_RCE; SM25; AHRQ_CALIBRATE_DX,seeded
18,EXAM-026-knee-flexion-strength,26,Neuro,Motor,Knee flexor strength,Knee flexion strength,High relevance for endocrine consults.,JAMA_RCE; SM25; AHRQ_CALIBRATE_DX,seeded
19,EXAM-027-ankle-dorsiflexion-strength,27,Neuro,Motor,Ankle dorsiflexion strength,Ankle dorsiflexion strength,High relevance for endocrine consults.,JAMA_RCE; SM25; AHRQ_CALIBRATE_DX,seeded
20,EXAM-028-ankle-plantarflexion-strength,28,Neuro,Motor,Ankle plantarflexion strength,Ankle plantarflexion strength,High relevance for endocrine consults.,JAMA_RCE; SM25; AHRQ_CALIBRATE_DX,seeded
21,EXAM-029-sensory-exam-setup,29,Neuro,Sensation,Sensory exam setup,Sensory exam setup,High relevance for endocrine consults.,JAMA_RCE; SM25; AHRQ_CALIBRATE_DX,seeded
22,EXAM-030-extremity-light-touch,30,Neuro,Sensation,Light touch extremities,Extremity light touch,High relevance for endocrine consults.,JAMA_RCE; SM25; AHRQ_CALIBRATE_DX,seeded
23,EXAM-031-extremity-pinprick,31,Neuro,Sensation,Sharp touch extremities,Extremity pinprick,High relevance for endocrine consults.,JAMA_RCE; SM25; AHRQ_CALIBRATE_DX,seeded
24,EXAM-032-vibration-sense,32,Neuro,Sensation,Vibration,Vibration sense,High relevance for endocrine consults.,JAMA_RCE; SM25; AHRQ_CALIBRATE_DX,seeded
25,EXAM-033-great-toe-proprioception,33,Neuro,Sensation,Proprioception,Great toe proprioception,High relevance for endocrine consults.,JAMA_RCE; SM25; AHRQ_CALIBRATE_DX,seeded
26,EXAM-037-patellar-reflex,37,Neuro,Reflexes,Patellar reflex,Patellar reflex,High relevance for endocrine consults.,JAMA_RCE; SM25; AHRQ_CALIBRATE_DX,seeded
27,EXAM-038-achilles-reflex,38,Neuro,Reflexes,Achilles reflex,Achilles reflex,High relevance for endocrine consults.,JAMA_RCE; SM25; AHRQ_CALIBRATE_DX,seeded
28,EXAM-039-babinski-sign,39,Neuro,Reflexes,Plantar reflex Babinski sign,Babinski sign,High relevance for endocrine consults.,JAMA_RCE; SM25; AHRQ_CALIBRATE_DX,seeded
29,EXAM-040-finger-to-nose,40,Neuro,Coordination and Gait,Finger-to-nose,Finger-to-nose,High relevance for endocrine consults.,JAMA_RCE; SM25; AHRQ_CALIBRATE_DX,seeded
30,EXAM-041-rapid-alternating-movements,41,Neuro,Coordination and Gait,Rapid alternating movements,Rapid alternating movements,High relevance for endocrine consults.,JAMA_RCE; SM25; AHRQ_CALIBRATE_DX,seeded
31,EXAM-042-heel-to-shin,42,Neuro,Coordination and Gait,Heel-to-shin,Heel-to-shin,High relevance for endocrine consults.,JAMA_RCE; SM25; AHRQ_CALIBRATE_DX,seeded
32,EXAM-043-gait,43,Neuro,Coordination and Gait,Gait,Gait,High relevance for endocrine consults.,JAMA_RCE; SM25; AHRQ_CALIBRATE_DX,seeded
33,EXAM-044-toe-walking,44,Neuro,Coordination and Gait,Toe walking,Toe walking,High relevance for endocrine consults.,JAMA_RCE; SM25; AHRQ_CALIBRATE_DX,seeded
34,EXAM-045-heel-walking,45,Neuro,Coordination and Gait,Heel walking,Heel walking,High relevance for endocrine consults.,JAMA_RCE; SM25; AHRQ_CALIBRATE_DX,seeded
35,EXAM-046-tandem-gait,46,Neuro,Coordination and Gait,Heel-to-toe tandem gait,Tandem gait,High relevance for endocrine consults.,JAMA_RCE; SM25; AHRQ_CALIBRATE_DX,seeded
36,EXAM-047-romberg,47,Neuro,Coordination and Gait,Romberg,Romberg,High relevance for endocrine consults.,JAMA_RCE; SM25; AHRQ_CALIBRATE_DX,seeded
37,EXAM-053-scalp-exam,53,HEENT,Head,Scalp inspection and palpation,Scalp exam,High-yield bedside maneuver for consult rounds.,AHRQ_CALIBRATE_DX; SM25,seeded
38,EXAM-054-sclerae-and-conjunctivae,54,HEENT,Eyes,Inspect sclerae and conjunctivae,Sclerae and conjunctivae,High relevance for endocrine consults.,SM25; AHRQ_CALIBRATE_DX,seeded
39,EXAM-055-ophthalmoscopic-exam,55,HEENT,Eyes,Ophthalmoscope red reflex/fundus,Ophthalmoscopic exam,High relevance for endocrine consults.,JAMA_RCE; SM25; AHRQ_CALIBRATE_DX,seeded
40,EXAM-056-external-ears,56,HEENT,Ears,Inspect external ears,External ears,High-yield bedside maneuver for consult rounds.,AHRQ_CALIBRATE_DX; SM25,seeded
41,EXAM-057-otoscope-exam,57,HEENT,Ears,Ear otoscope,Otoscope exam,High-yield bedside maneuver for consult rounds.,AHRQ_CALIBRATE_DX; SM25,seeded
42,EXAM-058-nasal-exam,58,HEENT,Nose,Nose otoscope,Nasal exam,High-yield bedside maneuver for consult rounds.,AHRQ_CALIBRATE_DX; SM25,seeded
43,EXAM-059-sinus-tenderness,59,HEENT,Nose,Frontal and maxillary sinus palpation,Sinus tenderness,High-yield bedside maneuver for consult rounds.,AHRQ_CALIBRATE_DX; SM25,seeded
44,EXAM-060-mouth-exam,60,HEENT,Mouth,Inspect mouth,Mouth exam,High relevance for endocrine consults.,SM25; AHRQ_CALIBRATE_DX,seeded
45,EXAM-061-oropharynx,61,HEENT,Mouth,Inspect oropharynx,Oropharynx,High relevance for endocrine consults.,SM25; AHRQ_CALIBRATE_DX,seeded
46,EXAM-062-preauricular-nodes,62,HEENT,Lymph Nodes and Thyroid,Preauricular lymph nodes,Preauricular nodes,High relevance for endocrine consults.,JTA_JES_THYROID_STORM_2016; SM25; AHRQ_CALIBRATE_DX,seeded
47,EXAM-063-posterior-auricular-nodes,63,HEENT,Lymph Nodes and Thyroid,Posterior auricular lymph nodes,Posterior auricular nodes,High relevance for endocrine consults.,JTA_JES_THYROID_STORM_2016; SM25; AHRQ_CALIBRATE_DX,seeded
48,EXAM-064-occipital-nodes,64,HEENT,Lymph Nodes and Thyroid,Occipital lymph nodes,Occipital nodes,High relevance for endocrine consults.,JTA_JES_THYROID_STORM_2016; SM25; AHRQ_CALIBRATE_DX,seeded
49,EXAM-065-tonsillar-nodes,65,HEENT,Lymph Nodes and Thyroid,Tonsillar lymph nodes,Tonsillar nodes,High relevance for endocrine consults.,JTA_JES_THYROID_STORM_2016; SM25; AHRQ_CALIBRATE_DX,seeded
50,EXAM-066-submandibular-nodes,66,HEENT,Lymph Nodes and Thyroid,Submandibular lymph nodes,Submandibular nodes,High relevance for endocrine consults.,JTA_JES_THYROID_STORM_2016; SM25; AHRQ_CALIBRATE_DX,seeded
51,EXAM-067-submental-nodes,67,HEENT,Lymph Nodes and Thyroid,Submental lymph nodes,Submental nodes,High relevance for endocrine consults.,JTA_JES_THYROID_STORM_2016; SM25; AHRQ_CALIBRATE_DX,seeded
52,EXAM-068-anterior-cervical-nodes,68,HEENT,Lymph Nodes and Thyroid,Anterior cervical lymph nodes,Anterior cervical nodes,High relevance for endocrine consults.,JTA_JES_THYROID_STORM_2016; SM25; AHRQ_CALIBRATE_DX,seeded
53,EXAM-069-posterior-cervical-nodes,69,HEENT,Lymph Nodes and Thyroid,Posterior cervical lymph nodes,Posterior cervical nodes,High relevance for endocrine consults.,JTA_JES_THYROID_STORM_2016; SM25; AHRQ_CALIBRATE_DX,seeded
54,EXAM-070-supraclavicular-nodes,70,HEENT,Lymph Nodes and Thyroid,Supraclavicular lymph nodes,Supraclavicular nodes,High relevance for endocrine consults.,JTA_JES_THYROID_STORM_2016; SM25; AHRQ_CALIBRATE_DX,seeded
55,EXAM-071-thyroid-exam,71,HEENT,Lymph Nodes and Thyroid,Thyroid inspection and palpation,Thyroid exam,High relevance for endocrine consults.,JTA_JES_THYROID_STORM_2016; SM25; AHRQ_CALIBRATE_DX,seeded
56,EXAM-072-abdominal-exam-setup,72,Abdomen,Setup,Positioning and draping,Abdominal exam setup,High-yield bedside maneuver for consult rounds.,MCGEE_EBPD; SM25; AHRQ_CALIBRATE_DX,seeded
57,EXAM-073-abdominal-inspection,73,Abdomen,Core Exam,Inspect abdomen,Abdominal inspection,High-yield bedside maneuver for consult rounds.,MCGEE_EBPD; SM25; AHRQ_CALIBRATE_DX,seeded
58,EXAM-074-bowel-sounds,74,Abdomen,Core Exam,Auscultate abdomen,Bowel sounds,High-yield bedside maneuver for consult rounds.,MCGEE_EBPD; SM25; AHRQ_CALIBRATE_DX,seeded
59,EXAM-075-abdominal-percussion,75,Abdomen,Core Exam,Percuss abdomen,Abdominal percussion,High management relevance for cardiopulmonary status.,JAMA_RCE; SM25; AHRQ_CALIBRATE_DX,seeded
60,EXAM-076-abdominal-palpation,76,Abdomen,Core Exam,Light and deep palpation,Abdominal palpation,High-yield bedside maneuver for consult rounds.,MCGEE_EBPD; SM25; AHRQ_CALIBRATE_DX,seeded
61,EXAM-077-spleen-palpation,77,Abdomen,Organ Exam,Palpate spleen,Spleen palpation,High-yield bedside maneuver for consult rounds.,MCGEE_EBPD; SM25; AHRQ_CALIBRATE_DX,seeded
62,EXAM-078-liver-span,78,Abdomen,Organ Exam,Percuss liver span,Liver span,High management relevance for cardiopulmonary status.,JAMA_RCE; SM25; AHRQ_CALIBRATE_DX,seeded
63,EXAM-079-liver-edge,79,Abdomen,Organ Exam,Palpate liver edge,Liver edge,High management relevance for cardiopulmonary status.,MCGEE_EBPD; SM25; AHRQ_CALIBRATE_DX,seeded
64,EXAM-080-murphy-sign,80,Abdomen,Advanced Maneuvers,Murphy sign,Murphy sign,High-yield bedside maneuver for consult rounds.,MCGEE_EBPD; SM25; AHRQ_CALIBRATE_DX,seeded
65,EXAM-081-rebound-tenderness,81,Abdomen,Advanced Maneuvers,Rebound tenderness,Rebound tenderness,High-yield bedside maneuver for consult rounds.,MCGEE_EBPD; SM25; AHRQ_CALIBRATE_DX,seeded
66,EXAM-082-psoas-sign,82,Abdomen,Advanced Maneuvers,Psoas sign,Psoas sign,High-yield bedside maneuver for consult rounds.,MCGEE_EBPD; SM25; AHRQ_CALIBRATE_DX,seeded
67,EXAM-083-obturator-sign,83,Abdomen,Advanced Maneuvers,Obturator sign,Obturator sign,High-yield bedside maneuver for consult rounds.,MCGEE_EBPD; SM25; AHRQ_CALIBRATE_DX,seeded
68,EXAM-084-cva-tenderness,84,Abdomen,Advanced Maneuvers,CVA tenderness,CVA tenderness,High-yield bedside maneuver for consult rounds.,MCGEE_EBPD; SM25; AHRQ_CALIBRATE_DX,seeded
69,EXAM-085-stethoscope-cleaned,85,Cardiopulmonary,Preparation,Stethoscope hygiene,Stethoscope cleaned,High management relevance for cardiopulmonary status.,AHRQ_CALIBRATE_DX; SM25,seeded
70,EXAM-086-heart-rate,86,Cardiopulmonary,Vital Signs,Heart rate,Heart rate,High management relevance for cardiopulmonary status.,JAMA_RCE; SM25; AHRQ_CALIBRATE_DX,seeded
71,EXAM-087-respiratory-rate,87,Cardiopulmonary,Vital Signs,Respiratory rate,Respiratory rate,High management relevance for cardiopulmonary status.,JAMA_RCE; SM25; AHRQ_CALIBRATE_DX,seeded
72,EXAM-088-blood-pressure,88,Cardiopulmonary,Vital Signs,Blood pressure,Blood pressure,High management relevance for cardiopulmonary status.,JAMA_RCE; SM25; AHRQ_CALIBRATE_DX,seeded
73,EXAM-089-posterior-thorax-inspection,89,Cardiopulmonary,Pulmonary Exam,Inspect posterior thorax,Posterior thorax inspection,High management relevance for cardiopulmonary status.,AHRQ_CALIBRATE_DX; SM25,seeded
74,EXAM-090-tactile-fremitus,90,Cardiopulmonary,Pulmonary Exam,Tactile fremitus,Tactile fremitus,High management relevance for cardiopulmonary status.,JAMA_RCE; SM25; AHRQ_CALIBRATE_DX,seeded
75,EXAM-091-posterior-lung-percussion,91,Cardiopulmonary,Pulmonary Exam,Percuss posterior lung fields,Posterior lung percussion,High management relevance for cardiopulmonary status.,JAMA_RCE; SM25; AHRQ_CALIBRATE_DX,seeded
76,EXAM-092-posterior-lung-sounds,92,Cardiopulmonary,Pulmonary Exam,Auscultate posterior lung fields,Posterior lung sounds,High management relevance for cardiopulmonary status.,JAMA_RCE; SM25; AHRQ_CALIBRATE_DX,seeded
77,EXAM-093-lateral-lung-sounds,93,Cardiopulmonary,Pulmonary Exam,Auscultate lateral lung fields,Lateral lung sounds,High management relevance for cardiopulmonary status.,JAMA_RCE; SM25; AHRQ_CALIBRATE_DX,seeded
78,EXAM-094-anterior-thorax-inspection,94,Cardiopulmonary,Pulmonary Exam,Inspect anterior thorax,Anterior thorax inspection,High management relevance for cardiopulmonary status.,AHRQ_CALIBRATE_DX; SM25,seeded
79,EXAM-095-anterior-lung-percussion,95,Cardiopulmonary,Pulmonary Exam,Percuss anterior lung fields,Anterior lung percussion,High management relevance for cardiopulmonary status.,JAMA_RCE; SM25; AHRQ_CALIBRATE_DX,seeded
80,EXAM-096-anterior-lung-sounds,96,Cardiopulmonary,Pulmonary Exam,Auscultate anterior lung fields,Anterior lung sounds,High management relevance for cardiopulmonary status.,JAMA_RCE; SM25; AHRQ_CALIBRATE_DX,seeded
81,EXAM-097-vascular-exam-setup,97,Cardiopulmonary,Vascular Exam,Vascular positioning,Vascular exam setup,High management relevance for cardiopulmonary status.,AHRQ_CALIBRATE_DX; SM25,seeded
82,EXAM-098-jvp,98,Cardiopulmonary,Vascular Exam,JVP,JVP,High management relevance for cardiopulmonary status.,JAMA_RCE; SM25; AHRQ_CALIBRATE_DX,seeded
83,EXAM-099-carotids,99,Cardiopulmonary,Vascular Exam,Carotid auscultation and palpation,Carotids,High management relevance for cardiopulmonary status.,AHRQ_CALIBRATE_DX; SM25,seeded
84,EXAM-100-radial-pulses,100,Cardiopulmonary,Vascular Exam,Radial pulses,Radial pulses,High management relevance for cardiopulmonary status.,JAMA_RCE; SM25; AHRQ_CALIBRATE_DX,seeded
85,EXAM-101-femoral-pulses,101,Cardiopulmonary,Vascular Exam,Femoral pulses,Femoral pulses,High management relevance for cardiopulmonary status.,JAMA_RCE; SM25; AHRQ_CALIBRATE_DX,seeded
86,EXAM-102-posterior-tibial-pulses,102,Cardiopulmonary,Vascular Exam,Posterior tibial pulses,Posterior tibial pulses,High management relevance for cardiopulmonary status.,JAMA_RCE; SM25; AHRQ_CALIBRATE_DX,seeded
87,EXAM-103-dorsalis-pedis-pulses,103,Cardiopulmonary,Vascular Exam,Dorsalis pedis pulses,Dorsalis pedis pulses,High management relevance for cardiopulmonary status.,JAMA_RCE; SM25; AHRQ_CALIBRATE_DX,seeded
88,EXAM-104-lower-extremity-edema,104,Cardiopulmonary,Vascular Exam,Edema,Lower extremity edema,High management relevance for cardiopulmonary status.,JAMA_RCE; SM25; AHRQ_CALIBRATE_DX,seeded
89,EXAM-105-cardiac-exam-setup,105,Cardiopulmonary,Cardiac Exam,Cardiac draping,Cardiac exam setup,High management relevance for cardiopulmonary status.,AHRQ_CALIBRATE_DX; SM25,seeded
90,EXAM-106-apical-impulse-inspection,106,Cardiopulmonary,Cardiac Exam,Inspect apical impulse,Apical impulse inspection,High management relevance for cardiopulmonary status.,JAMA_RCE; SM25; AHRQ_CALIBRATE_DX,seeded
91,EXAM-107-pmi,107,Cardiopulmonary,Cardiac Exam,Palpate PMI,PMI,High management relevance for cardiopulmonary status.,JAMA_RCE; SM25; AHRQ_CALIBRATE_DX,seeded
92,EXAM-108-heart-sounds,108,Cardiopulmonary,Cardiac Exam,Auscultate heart with diaphragm and bell,Heart sounds,High management relevance for cardiopulmonary status.,JAMA_RCE; SM25; AHRQ_CALIBRATE_DX,seeded
93,EXAM-109-aortic-area,109,Cardiopulmonary,Cardiac Exam,Aortic area,Aortic area,High management relevance for cardiopulmonary status.,AHRQ_CALIBRATE_DX; SM25,seeded
94,EXAM-110-pulmonic-area,110,Cardiopulmonary,Cardiac Exam,Pulmonic area,Pulmonic area,High management relevance for cardiopulmonary status.,AHRQ_CALIBRATE_DX; SM25,seeded
95,EXAM-111-tricuspid-area,111,Cardiopulmonary,Cardiac Exam,Tricuspid area,Tricuspid area,High management relevance for cardiopulmonary status.,AHRQ_CALIBRATE_DX; SM25,seeded
96,EXAM-112-mitral-area,112,Cardiopulmonary,Cardiac Exam,Mitral area,Mitral area,High management relevance for cardiopulmonary status.,AHRQ_CALIBRATE_DX; SM25,seeded
